Ano,ID,Camada,Quadrado,Nivel,MateriaPrima,Classe,Morfologia Bordos,Cortex,Localizacao,Espessura,Largura,Comprimento,Talao,Presença Labial,Secção,Acabamento Distal,Perfil,Face dorsal,Padrão,Abrasão,Tipologia Bordeana,Observações
2009,C645,C,G18,4,Quartzo,Lasca-Distal,Irregulares,<25%,Lateral,10.09,29.57,,,,Triangular,Natural,Direito,1,Paralelo-Proximal,,,
2009,169,C,G17,2,Grauvaque,Lasca,Irregulares,25-75%,Distal,11.68,30.31,38.67,Cortical,Não,Trapezoidal,Natural,Direito,1,Paralelo-Proximal,,,
2009,942,C,G17,3,Sílex,Lasca,Paralelos,<25%,Distal,6.3,19.28,21.57,Facetado,Não,Triangular,Natural,Direito,4,Paralelo-Proximal,,,
2009,445,C,I18,2,Sílex,Lasca,Divergentes,25-75%,Distal,5.98,26.21,46.23,Facetado,Não,Triangular,Natural,Encurvado,1,Paralelo-Proximal,,,
2009,53,C,I17,2,Outra,Lasca,Convergentes,<25%,Lateral-Mesial,17.06,32.61,54.26,Diedro,Não,Triangular,Apontado,Direito,8,Radial,,,frente de núcleo?
2009,282,C,H17,2,Quartzo,Lasca,Irregulares,25-75%,Lateral,12.63,23.92,35.23,Liso,Não,Triangular,Natural,Irregular,1,Não-Indentificável,,,
2009,247,C,I17,3,Sílex,Lasca,Irregulares,Sem-Cortex,,1.65,18.52,27.98,Facetado,Não,Triangular,Natural,Encurvado,3,Não-Indentificável,,,
2009,172,C,G17,2,Sílex,Lasca-Distal,Convergentes,Sem-Cortex,,1.28,14.69,,,,Triangular,Apontado,Direito,2,Paralelo-Proximal,,,
2009,1617,C,I17,5,Sílex,Lâmina-Proximal,Paralelos,25-75%,Lateral,6.23,17.44,,Facetado,Não,Triangular,,Direito,1,Paralelo-Proximal,,,
2009,376,C,H17,2,Quartzo,Lasca,Irregulares,Sem-Cortex,,6.54,26.61,21.42,Liso,Não,Triangular,Natural,Irregular,2,Não-Indentificável,,,
2009,379,C,H17,2,Grauvaque,Lasca,Biconvexos,Sem-Cortex,,8.93,38.22,30.52,Cortical,Não,Irregular,Natural,Direito,3,Não-Indentificável,,,
2009,344,C,H17,2,Sílex,Lasca-Adelgaçamento,Divergentes,Sem-Cortex,,7.64,27.6,35.54,Facetado,Sim,Triangular,Natural,Encurvado,6,Radial,,,
2009,1473,C,K16,3,Grauvaque,Lasca,Divergentes,25-75%,Distal,14.33,51.1,32.09,Liso,Não,Triangular,Natural,Encurvado,2,Paralelo-Proximal,,,
2009,1295,C,J16,2,Sílex,Lasca-Proximal,Divergentes,Sem-Cortex,,6,23.16,,Liso,Não,Triangular,,Torcido,2,Paralelo-Proximal,,,
2009,381,C,H17,2,Sílex,Lasca-Adelgaçamento,Divergentes,Sem-Cortex,,3.02,16.78,,Facetado,Sim,Triangular,,,2,Paralelo-Proximal,,,Fragmento proximal
2009,318,C,G18,2,Sílex,Frente,Paralelos,Sem-Cortex,,9.62,18.23,29.02,Cortical,Não,Triangular,Natural,Direito,4,Bidireccional-Cruzado,,,
2009,1000,C,H18,4,Sílex,Lasca-Adelgaçamento,Divergentes,Sem-Cortex,,4.05,24.1,31.74,Liso,Não,Irregular,Natural,Encurvado,5,Bidireccional-Paralelo,,,
2009,1331,C,J16,2,Sílex,Lâmina-Distal,Irregulares,Sem-Cortex,,2.79,14.55,,,,Triangular,Apontado,Direito,2,Paralelo-Proximal,,,
2009,871,C,H17,4,Sílex,Lamela,Irregulares,Sem-Cortex,,2.77,11.63,23.04,Diedro,Não,Triangular,Natural,Torcido,3,Paralelo-Proximal,,,
2009,2064,C,I17,6,Sílex,Lasca-Proximal,Paralelos,Total,,7.03,13.88,,Cortical,Não,Triangular,,Direito,,,,,
2009,1658,C,I17,5,Sílex,Lasca,Divergentes,Sem-Cortex,,3.2,17.05,21.45,Esmagado,Não,Triangular,Natural,Direito,2,Paralelo-Proximal,,,
2009,515,C,H18,2,Sílex,Lamela,Paralelos,Sem-Cortex,,2.96,9.23,24.98,Liso,Não,Trapezoidal,Natural,Direito,3,Paralelo-Proximal,,,
2009,1809,C,I17,5,Grauvaque,Lasca,Irregulares,Sem-Cortex,,5.08,15.52,24.25,Liso,Não,Triangular,Natural,Direito,2,Paralelo-Proximal,,,
2009,562,C,H17,3,Quartzo,Lasca,Convergentes,Sem-Cortex,,8.81,14.52,24.05,Liso,Não,Triangular,Apontado,Direito,4,Não-Indentificável,,,
2009,1741,C,I16,5,Sílex,Lasca-Adelgaçamento,Divergentes,Sem-Cortex,,3.85,24.74,,,,Irregular,Natural,Encurvado,5,Radial,,,Fragmento distal
2009,1272,C,H16,6,Sílex,Lamela-Distal,Paralelos,Sem-Cortex,,1.96,6.19,,,,Triangular,Apontado,Direito,3,Não-Indentificável,,,
2009,597,C,G17,2,Grauvaque,Lasca,Divergentes,25-75%,Distal,7.4,28.11,13.42,Liso,Não,Triangular,Natural,Direito,2,Paralelo-Proximal,,,
2009,159,C,H18,2,Sílex,Lasca,Irregulares,<25%,Proximal,3.53,26.39,22.17,Liso,Não,Direita,Natural,Encurvado,2,Paralelo-Um-Lado,,,
2009,919,C,H18,4,Sílex,Lasca,Paralelos,<25%,Distal,4.1,17.15,28.49,Esmagado,Não,Triangular,Natural,Direito,2,Paralelo-Proximal,,,
